Sliepka ľahká ; 2,29
Virema Trade Morčacie prsia ; 6,99
Kačica bez drobov ; 4,29
K-Classic Saláma Poličan ; 0,77
K-Purland Kurča ; 2,59
K-Purland Kuracia zadná štvrťka ; 2,09
Bravčové kolienko zadné s kosťou, vcelku ; 2,49
Bravčové pliecko bez kosti, vcelku ; 3,99
Bravčová krkovička bez kosti, Barbecue ; 5,99
K-Favourites Zmes francúzskych údenín ; 2,29
Bravčové mäso na guláš ; 5,29
Berto Francúzska šunka ; 1,49
K-Purland Hovädzia polievková zmes ; 6,19
K-Purland Hovädzie držky predvarené, krájané ; 5,99
Debrecínské párky pultový predaj ; 0,79
K-Purland Čevapčiči s cibuľkou ; 2,29
Domáci údený bok bez Éčok ; 0,89
MECOM Francúzska nátierka ; 1,09
Mleté hovädzie mäso ; 5,89
Bravčový bok XXL s kosťou a kožou ; 4,49
Nitran saláma ; 0,89
Schwarzwaldská šunka ; 1,09
Gril klobása biela alebo pikantná ; 2,29
K-Favourites Francúzska saláma ; 4,99
Maďarská klobása ; 0,89
K-Classic Lovecká saláma ; 3,79
K-Classic Špekáčiky ; 3,29
K-Classic Viedenské párky ; 3,29
K-Classic Surová šunka Gourmet ; 2,09
K-Classic Delikatesné kuracie prsia ; 2,29
K-Classic Slanina prúžky ; 2,29
Mäsožravé rastliny izbová rastlina ; 3,99
Klinček Oskar (Dianthus Oskar) ; 2,19
Čerstvé zo Slovenska Paradajky koktailové strapcové ; 1,69
K-Bio Mrkva ; 1,69
Ruža na kmeni Rosa mrazuvzdorná ; 10,79
Čučoriedka chocholíkatá (Vaccinium corymbosum) ; 4,69
Jahody slovenské ; 7,50
Zelené rastliny v keramike rôzne druhy ; 5,05
Zamiopalma (Zamioculcas) ; 4,99
K-Bio Dyňa červená mini s nízkym obsahom jadierok ; 2,99
Darčeková kytica rôzne druhy ; 12,99
Jablko Red Delicious ; 0,89
Hrášok ; 3,30
Kaleráb ; 0,55
Kapusta biela ; 0,89
Mango ; 0,99
Melón Cantaloupe ; 1,69
Paprika kapia ; 2,99
Reďkvičky ; 0,49
Šalát ľadový ; 0,99
Marakuja ; 0,66
Černice ; 1,99
Šampiňóny biele ; 0,79
Hrušky Abate ; 2,29
Čerstvé zo Slovenska Paradajky Miniroma sladké ; 1,99
Hortenzia kalinolistá (Hydrangea macrophylla) ; 4,99
Čerešne ; 7,90
Čerstvé zo Slovenska Zemiaky konzumné ; 3,39
Sumček africký pitvaný, bez hlavy ; 0,65
K-Blue Bay Pstruh dúhový ; 1,29
Roquefort Polomäkký zrejúci ovčí syr ; 1,99
Kinder Mliečny rez Piškótové rezy ; 0,45
K-Classic Eidam Polotvrdý syr ; 1,49
Rians Crème brûlée ; 2,49
Président Camembert Mäkký zrejúci syr s plesňou ; 2,69
Veselá Kráva Sýr a Křup Tavený syr a trvanlivé pečivo ; 1,99
Paw Patrol Kakaovo píškótový rez ; 2,79
K-Classic Emmental Tvrdý zrejúci syr ; 1,49
K-Classic Mascarpone ; 1,79
Z lásky k tradícii Čerstvé mlieko plnotučné ; 0,89
K-Classic Tvaroh polotučný ; 1,39
K-Classic Kyslá smotana ; 0,49
K-Classic Smotanový jogurt ; 0,33
K-Classic Biely jogurt tuk 3,7 % ; 0,62
K-Classic Smotana na varenie ; 1,11
K-Classic Kefírové mlieko ; 0,88
Kozí syr s bielou plesňou ; 2,09
Kozí syr s bylinkami ; 2,29
Danish Blue s modrou plesňou ; 1,79
Francúzske Brie Mäkký plesňový syr ; 1,69
Gouda so senovkou gréckou ; 1,89
Mimolette Polotvrdý zrejúci syr ; 1,59
Old Amsterdam Tvrdý plnotučný syr ; 2,39
Raclette Plnotučný prírodný syr ; 1,79
Írsky Cheddar červený ; 1,59
Fourmde d´Ambert DOP Syr s modrou plesňou ; 2,09
Queso Espaňol Polotvrdý syr ; 1,79
Pecorinou Gourmet s čili korením ; 2,19
K-Classic Ázijská zeleninová zmes ; 1,45
K-Classic Il meglio mrazený krém ; 2,09
K-Classic Schwarzwaldská torta ; 7,39
K-Classic Mr. kr. v kornútku vanilka a oriešok ; 2,99
K-Classic Mrazený krém ovocný ; 1,99
K-Classic Zemiakové placky mrazené ; 1,69
K-Classic Maliny ; 2,39
K-Classic Maxx Mrazený krém ; 2,99
K-Classic Obaľovaný syr ; 1,55
K-Classic Kuracie Cordon Blue obaľované ; 3,99
Matjesové rezy zo sleďa obyčajného ; 0,45
K- Classic Cesto na croissanty ; 1,59
Tuniaková nátierka ; 0,59
K-Classic Lasagne s bravčovým mäsom ; 1,69
K-Classic Tortilly ; 0,89
Zavináče s cibuľou ; 0,49
Covinor Horčica ; 1,99
K-Classic Knedľa ; 0,89
K-Classic Cesto na pizzu ; 0,99
K-Classic Omáčka ; 0,49
K-Classic Lístkové cesto ; 0,79
K-Classic Cestoviny ; 0,59
Mánya Zmes kešu a brusníc ; 1,89
K-Classic Tunikový šalát ; 1,25
Bell Zvolen Olej ; 1,79
